old_id	lifted_id	method	symbol
ENSRNOG00000000775	NA	unmapped	MOG
ENSRNOG00000000777	NA	unmapped	RT1-S3
ENSRNOG00000000778	NA	unmapped	ZNRD1AS1
ENSRNOG00000000779	ENSRNOG00000000779	direct	POLR1H
ENSRNOG00000000780	ENSRNOG00000082306	symbol	PPP1R11
ENSRNOG00000000781	ENSRNOG00000000781	direct	RNF39
ENSRNOG00000000782	ENSRNOG00000000782	direct	TRIM10
ENSRNOG00000000783	ENSRNOG00000000783	direct	TRIM40
ENSRNOG00000000785	ENSRNOG00000000785	direct	TRIM39
ENSRNOG00000000786	ENSRNOG00000000786	direct	RPP21
ENSRNOG00000000787	NA	unmapped	LOC100909797
ENSRNOG00000000795	ENSRNOG00000000795	direct	RT1-N3
ENSRNOG00000000796	ENSRNOG00000000796	direct	RANBP2
ENSRNOG00000000798	ENSRNOG00000000798	direct	GNL1
ENSRNOG00000000799	ENSRNOG00000000799	direct	ABCF1
ENSRNOG00000000800	ENSRNOG00000000800	direct	MAN1A1
ENSRNOG00000000801	ENSRNOG00000000801	direct	MSL3L2
ENSRNOG00000000802	ENSRNOG00000000802	direct	TBC1D32
ENSRNOG00000000804	ENSRNOG00000000804	direct	MRPS18B
ENSRNOG00000000805	ENSRNOG00000000805	direct	GJA1
ENSRNOG00000000808	ENSRNOG00000000808	direct	HSF2
ENSRNOG00000000809	ENSRNOG00000000809	direct	ATAT1
ENSRNOG00000000811	ENSRNOG00000000811	direct	PKIB
ENSRNOG00000000812	NA	unmapped	RGD1302996
ENSRNOG00000000814	ENSRNOG00000000814	direct	FABP7
ENSRNOG00000000815	ENSRNOG00000066945	symbol	SMPDL3A
ENSRNOG00000000816	ENSRNOG00000071251	symbol	PPP1R18
ENSRNOG00000000818	NA	unmapped	NRM
ENSRNOG00000000823	ENSRNOG00000000823	direct	GCC2
ENSRNOG00000000824	ENSRNOG00000000824	direct	DSE
ENSRNOG00000000825	ENSRNOG00000000825	direct	CALHM5
ENSRNOG00000000826	ENSRNOG00000000826	direct	FLOT1
ENSRNOG00000000827	ENSRNOG00000000827	direct	IER3
ENSRNOG00000000831	ENSRNOG00000000831	direct	GTF2H4
ENSRNOG00000000833	ENSRNOG00000000833	direct	VARS2
ENSRNOG00000000836	ENSRNOG00000070531	symbol	LTB
ENSRNOG00000000837	ENSRNOG00000070745	symbol	TNF
ENSRNOG00000000838	ENSRNOG00000000838	direct	LTA
ENSRNOG00000000839	ENSRNOG00000000839	direct	NFKBIL1
ENSRNOG00000000840	ENSRNOG00000000840	direct	ATP6V1G2
ENSRNOG00000000841	ENSRNOG00000000841	direct	DDX39B
ENSRNOG00000000842	ENSRNOG00000000842	direct	DDAH2
ENSRNOG00000000843	ENSRNOG00000070605	symbol	LY6G6C
ENSRNOG00000000844	ENSRNOG00000027225	symbol	LY6G6D
ENSRNOG00000000846	ENSRNOG00000000846	direct	LY6G5C
ENSRNOG00000000847	ENSRNOG00000000847	direct	CSNK2B
ENSRNOG00000000848	ENSRNOG00000000848	direct	GPANK1
ENSRNOG00000000850	ENSRNOG00000000850	direct	APOM
ENSRNOG00000000851	ENSRNOG00000000851	direct	BAG6
ENSRNOG00000000852	ENSRNOG00000000852	direct	PRRC2A
ENSRNOG00000000853	ENSRNOG00000000853	direct	AIF1
ENSRNOG00000000854	ENSRNOG00000000854	direct	NCR3
ENSRNOG00000000855	ENSRNOG00000000855	direct	LST1
ENSRNOG00000000857	ENSRNOG00000000857	direct	MSH5
ENSRNOG00000000858	ENSRNOG00000000858	direct	SAPCD1
ENSRNOG00000000860	ENSRNOG00000000860	direct	VWA7
ENSRNOG00000000861	ENSRNOG00000000861	direct	ZIC3
ENSRNOG00000000866	ENSRNOG00000000866	direct	RBMX
ENSRNOG00000000867	ENSRNOG00000000867	direct	VARS1
ENSRNOG00000000869	ENSRNOG00000000869	direct	ARHGEF6
ENSRNOG00000000871	ENSRNOG00000000871	direct	CD40LG
ENSRNOG00000000873	ENSRNOG00000000873	direct	BRS3
ENSRNOG00000000875	ENSRNOG00000000875	direct	FHL1
ENSRNOG00000000878	ENSRNOG00000000878	direct	SLC44A4
ENSRNOG00000000879	ENSRNOG00000000879	direct	SLC9A6
ENSRNOG00000000881	ENSRNOG00000065883	symbol	MMGT1
ENSRNOG00000000885	ENSRNOG00000000885	direct	AUTS2
ENSRNOG00000000886	NA	unmapped	CALN1
ENSRNOG00000000887	NA	unmapped	AABR07035098.1
ENSRNOG00000000888	ENSRNOG00000000888	direct	SBDS
ENSRNOG00000000889	ENSRNOG00000000889	direct	AABR07011057.1
ENSRNOG00000000891	NA	unmapped	ZFP958L1
ENSRNOG00000000893	ENSRNOG00000000893	direct	TMEM248
ENSRNOG00000000894	ENSRNOG00000000894	direct	FRY
ENSRNOG00000000895	ENSRNOG00000000895	direct	RABGEF1
ENSRNOG00000000896	NA	unmapped	AABR07070892.1
ENSRNOG00000000897	ENSRNOG00000000897	direct	RXFP2
ENSRNOG00000000900	ENSRNOG00000000900	direct	TPST1
