feature_ID	n_tissues	tissue
ENSRNOG00000016660	6	ADRNL,BAT,BLOOD,COLON,KIDNEY,SKM-VL
ENSRNOG00000016770	6	ADRNL,BLOOD,COLON,SKM-VL,SMLINT,SPLEEN
ENSRNOG00000016831	6	ADRNL,HEART,LUNG,OVARY,SKM-GN,WAT-SC
ENSRNOG00000016978	6	ADRNL,BAT,COLON,LUNG,SMLINT,WAT-SC
ENSRNOG00000017032	6	ADRNL,BAT,COLON,HEART,LUNG,SKM-VL
ENSRNOG00000017206	6	ADRNL,BAT,COLON,HEART,LUNG,WAT-SC
ENSRNOG00000017226	6	ADRNL,BAT,BLOOD,HEART,KIDNEY,SKM-VL
ENSRNOG00000017980	6	ADRNL,BAT,LUNG,OVARY,SMLINT,WAT-SC
ENSRNOG00000018114	6	ADRNL,BAT,HEART,OVARY,SKM-VL,WAT-SC
ENSRNOG00000018145	6	ADRNL,BAT,BLOOD,COLON,OVARY,WAT-SC
ENSRNOG00000018251	6	BAT,COLON,LUNG,SKM-VL,TESTES,WAT-SC
ENSRNOG00000018371	6	ADRNL,BAT,LUNG,OVARY,SKM-GN,SKM-VL
ENSRNOG00000018796	6	ADRNL,HEART,KIDNEY,OVARY,SKM-VL,TESTES
ENSRNOG00000019996	6	ADRNL,BLOOD,COLON,HEART,SKM-VL,WAT-SC
ENSRNOG00000020206	6	ADRNL,BLOOD,LUNG,OVARY,SPLEEN,WAT-SC
ENSRNOG00000020346	6	BAT,BLOOD,HEART,HIPPOC,KIDNEY,SPLEEN
ENSRNOG00000020699	6	ADRNL,BAT,LUNG,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000020811	6	COLON,HIPPOC,SKM-GN,SKM-VL,SMLINT,WAT-SC
ENSRNOG00000020845	6	BAT,BLOOD,LUNG,OVARY,SMLINT,WAT-SC
ENSRNOG00000020884	6	ADRNL,BAT,BLOOD,LUNG,SPLEEN,WAT-SC
ENSRNOG00000020997	6	ADRNL,BLOOD,COLON,LUNG,SMLINT,SPLEEN
ENSRNOG00000021261	6	ADRNL,BAT,COLON,LUNG,SKM-VL,WAT-SC
ENSRNOG00000021384	6	ADRNL,BLOOD,COLON,OVARY,SMLINT,WAT-SC
ENSRNOG00000024210	6	ADRNL,BAT,BLOOD,COLON,SPLEEN,WAT-SC
ENSRNOG00000024309	6	ADRNL,BAT,BLOOD,COLON,SKM-GN,SKM-VL
ENSRNOG00000025448	6	ADRNL,BAT,HIPPOC,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000025691	6	ADRNL,BAT,HEART,OVARY,SMLINT,SPLEEN
ENSRNOG00000026235	6	ADRNL,BAT,KIDNEY,LIVER,OVARY,SPLEEN
ENSRNOG00000026762	6	ADRNL,BAT,BLOOD,LUNG,SMLINT,SPLEEN
ENSRNOG00000027049	6	ADRNL,BAT,BLOOD,COLON,SKM-GN,SKM-VL
ENSRNOG00000027891	6	ADRNL,BLOOD,COLON,SKM-VL,SPLEEN,WAT-SC
ENSRNOG00000028137	6	BAT,BLOOD,LIVER,LUNG,SKM-VL,WAT-SC
ENSRNOG00000028356	6	ADRNL,BAT,BLOOD,COLON,KIDNEY,WAT-SC
ENSRNOG00000028717	6	ADRNL,BAT,COLON,HEART,SKM-VL,WAT-SC
ENSRNOG00000029134	6	ADRNL,COLON,HEART,KIDNEY,LUNG,SKM-GN
ENSRNOG00000029500	6	ADRNL,BAT,COLON,HEART,LUNG,WAT-SC
ENSRNOG00000029707	6	ADRNL,BAT,HEART,LUNG,SKM-VL,SPLEEN
ENSRNOG00000030019	6	BAT,COLON,HEART,LIVER,SKM-GN,SPLEEN
ENSRNOG00000030187	6	ADRNL,BAT,COLON,LUNG,SMLINT,WAT-SC
ENSRNOG00000030700	6	ADRNL,BAT,HEART,SKM-GN,SKM-VL,TESTES
ENSRNOG00000031033	6	ADRNL,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL
ENSRNOG00000033262	6	ADRNL,BAT,LIVER,SKM-GN,TESTES,WAT-SC
ENSRNOG00000034093	6	ADRNL,HEART,LIVER,LUNG,SKM-GN,SKM-VL
ENSRNOG00000038286	6	ADRNL,BAT,LUNG,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000038740	6	ADRNL,BLOOD,COLON,LUNG,SMLINT,SPLEEN
ENSRNOG00000042455	6	ADRNL,BAT,COLON,LUNG,SPLEEN,WAT-SC
ENSRNOG00000042903	6	ADRNL,BAT,BLOOD,COLON,SKM-GN,SKM-VL
ENSRNOG00000042905	6	ADRNL,BAT,BLOOD,OVARY,SKM-VL,SPLEEN
ENSRNOG00000042980	6	ADRNL,BAT,LIVER,OVARY,SKM-GN,WAT-SC
ENSRNOG00000045560	6	ADRNL,BAT,BLOOD,LUNG,OVARY,SPLEEN
ENSRNOG00000046005	6	ADRNL,BAT,HIPPOC,SKM-VL,SMLINT,SPLEEN
ENSRNOG00000046889	6	ADRNL,BAT,COLON,SKM-GN,SKM-VL,WAT-SC
ENSRNOG00000050697	6	ADRNL,BAT,BLOOD,LUNG,SPLEEN,WAT-SC
ENSRNOG00000052391	6	COLON,HEART,OVARY,SKM-GN,SKM-VL,WAT-SC
ENSRNOG00000053201	6	BLOOD,HEART,LUNG,SKM-GN,SKM-VL,SPLEEN
ENSRNOG00000053450	6	ADRNL,BAT,COLON,HEART,OVARY,WAT-SC
ENSRNOG00000055650	6	ADRNL,BAT,LUNG,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000055962	6	ADRNL,BAT,BLOOD,SPLEEN,TESTES,WAT-SC
